State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
NY,Indeck-Yerkes Energy Center,50451,2020,23550.5,13520.075,227488.85,42.9671,-78.9182,0.012265209
NY,Independence,54547,2020,4173572.68,1758469.349,29589731.87,43.495,-76.4508,1.595257016
NY,KIAC Cogeneration,54114,2020,429331.5,256622.174,4316863.858,40.6417,-73.7778,0.232803787
NY,Lockport,54041,2020,116340.41,91498.818,1539734.668,43.1622,-78.7453,0.083006355
NY,Massena Energy Facility,54592,2020,578.48,679.074,11426.832,44.9503,-74.8928,0.000616046
NY,NRG Dunkirk Power,2554,2020,,,,42.49,-79.35,0
NY,Narrows Generating Station,2499,2020,51928.2,,805856.3,40.6486,-74.0209,0
NY,Nassau Energy Corporation,52056,2020,141516.45,105527.713,1775502.244,40.7259,-73.5885,0.095733158
NY,Nissequogue Energy Center,54149,2020,350125.99,198180.252,3334709.923,40.9168,-73.1292,0.179786152
NY,North 1st,7915,2020,51542.85,30911.431,520139.494,40.7168,-73.9665,0.028042387
NY,Northport,2516,2020,3135008.94,1892666.569,31779700.97,40.9231,-73.3417,1.716998721
NY,Oswego Harbor Power,2594,2020,50642.49,47784.098,606458.455,43.46,-76.53,0.043349017
NY,Pinelawn Power,56188,2020,138261.24,66999.775,1132882.995,40.7358,-73.3881,0.060781191
NY,Poletti 500 MW CC,56196,2020,2514374.91,1088924.29,18314145.69,40.7881,-73.9056,0.987855782
NY,Port Jefferson Energy Center,2517,2020,594591.75,369870.655,6140145.224,40.9503,-73.0786,0.33554111
NY,Pouch Terminal,8053,2020,65181.13,39045.315,656805.624,40.6188,-74.069,0.035421324
NY,"RED-Rochester, LLC-Eastman Business Park",10025,2020,,,2744396.425,43.1969,-77.6289,0
NY,Ravenswood Generating Station,2500,2020,2184239.21,1089195.584,18367965.07,40.7585,-73.9451,0.988101896
NY,Ravenswood Steam Plant,880100,2020,,,9125.375,40.76,-73.75,0
NY,Rensselaer Cogen,54034,2020,4819.96,2559.018,43062.602,42.63,-73.75,0.002321503
NY,Richard M Flynn (Holtsville),7314,2020,383398.55,278476.368,4680842.066,40.8153,-73.0644,0.252629584
NY,Riverbay Corp. - Co-Op City,52168,2020,54567.75,,1376245.425,40.8697,-73.8258,0
NY,Roseton Generating LLC,8006,2020,116858.36,74412.184,1238392.745,41.5711,-73.9739,0.067505617
NY,S A Carlson,2682,2020,68792.25,38231.6,643513.625,42.0917,-79.2417,0.034683134
NY,"Saranac Power Partners, LP",54574,2020,35032.14,18937.01,318655.219,44.7132,-73.4557,0.017179371
NY,Selkirk Cogen Partners,10725,2020,153675.02,74291.378,1250217.304,42.5744,-73.8592,0.067396024
NY,Shoemaker,2632,2020,90.2,123.372,2075.403,41.4278,-74.4186,0.000111921
NY,Shoreham Energy,55787,2020,36394.49,27632.448,340518.171,40.9572,-72.8664,0.025067742
NY,Somerset Operating Company  (Kintigh),6082,2020,160267.26,174360.03,1699406.159,43.3561,-78.6039,0.158176804
NY,Sterling Power Plant,50744,2020,3089.01,2156.13,36272.158,43.0803,-75.6003,0.001956009
NY,"Syracuse, LLC",10621,2020,6043.22,3005.003,50565.66,43.0667,-76.2246,0.002726094
NY,Ticonderoga Mill,54099,2020,,,3099057.624,43.8914,-73.3961,0
NY,Valley Energy Center,56940,2020,4747518.7,1930961.797,32491852.21,41.413,-74.435,1.751739578
NY,Vernon Boulevard,7909,2020,70037.78,40516.26,681727.089,40.7539,-73.9506,0.036755743
NY,Wading River Facility,7146,2020,38833.5,42354.425,521994.7,40.9569,-72.8774,0.038423299
NY,West Babylon Facility,2521,2020,1925,2203,27204.4,40.6953,-73.3497,0.001998529
OH,AK Steel Corporation - Middletown,880042,2020,,,1071424.004,39.4968,-84.3901,0
OH,AMP-Ohio Gas Turbines Bowling Green,55262,2020,1996.84,1673.9,28358.2,41.3989,-83.6411,0.001518537
OH,AMP-Ohio Gas Turbines Galion,55263,2020,1830.79,1993.4,33758.6,40.7167,-82.789,0.001808383
OH,AMP-Ohio Gas Turbines Napoleon,55264,2020,1103.57,1192.8,20202.7,41.4077,-84.1092,0.00108209
